year,km_driven,fuel,owner,mileage(km/ltr/kg),seats,selling_price
2014,90000,Diesel,first,25.2,5,400000
2018,25000,Diesel,first,25.1,5,1030000
2010,100000,Diesel,second,18.8,5,190000
2006,60000,Petrol,second,16.6,5,140000
2018,30000,Diesel,first,21.19,5,800000
2007,120000,Diesel,third,10.5,7,229999
2011,80000,Diesel,second,13.93,7,300000
2011,69000,Diesel,second,20.54,5,375000
2010,75000,Petrol,first,18.6,5,140000
2004,113000,Petrol,second,19.7,5,60000
2014,90000,Diesel,second,24.4,5,420000
2012,100000,Diesel,third,23.08,5,300000
2012,110000,Diesel,first,22.3,5,150000
2015,90000,Diesel,first,22.77,5,600000
2011,100000,Diesel,second,20,5,204999
2017,50000,Diesel,first,25.4,5,625000
2011,200000,Diesel,first,20.5,5,280000
2014,146000,Diesel,second,13.01,7,1050000
2009,80000,Petrol,second,12.9,5,250000
2010,96443,Diesel,second,11.57,7,535000
2009,100000,Petrol,second,11.7,5,400000
2019,10000,Petrol,first,21.21,5,610000
2014,110000,Diesel,first,23.4,5,509999
2014,86000,Diesel,second,14,7,521000
2014,100000,Diesel,first,23.4,5,511000
2014,91000,Diesel,first,22.54,5,451000
2009,100000,Petrol,first,20.36,5,170000
2013,120000,Diesel,second,23.4,5,450000
2011,90000,Petrol,second,17,5,375000
2016,60000,Petrol,second,22.74,5,305000
2016,51500,Petrol,first,25.17,5,315000
2016,60000,Diesel,second,22.1,5,250000
2012,104500,Diesel,second,20,5,200000
2018,30000,Diesel,first,23,5,950000
2012,120000,Diesel,third,19.01,5,400000
2014,100000,Diesel,second,22.9,5,509999
2008,90000,Petrol,third,13.5,5,375000
2005,150000,Petrol,third,18.9,5,150000
2006,60000,Petrol,first,18.9,5,75000
2015,50000,Petrol,second,17.43,5,465000
2019,10000,Diesel,first,24,5,700000
2015,120000,Diesel,third,15.4,7,950000
2017,40000,Petrol,first,18.6,5,610000
2004,120000,Petrol,second,,,60000
2014,50000,Petrol,first,22.74,5,235000
2017,90000,Petrol,first,15.37,5,330000
2014,90000,Diesel,first,20.45,5,472000
2019,10000,Petrol,first,21.21,5,585000
2018,10000,Diesel,first,23.5,8,500000
2019,27000,Petrol,first,23.95,5,360000
2016,70000,Diesel,first,26.59,5,649000
2017,50000,Petrol,first,16.8,5,200000
2008,60000,Petrol,first,,,240000
2014,110000,Diesel,first,24,5,400000
2015,100000,Diesel,second,27.62,5,250000
2018,50000,Diesel,first,17.3,7,1200000
2009,105000,Diesel,second,17.8,5,250000
2013,110000,Diesel,first,12.99,8,819999
2014,60000,Diesel,second,15.1,7,800000
2013,49102,Petrol,second,18.88,5,429000
2010,60000,Petrol,third,17.92,5,150000
2010,120000,Diesel,second,,,315000
2012,90000,Diesel,first,25.44,5,170000
2014,33033,Petrol,first,19.4,5,335000
2015,63063,Petrol,first,18.9,5,465000
2013,81000,Diesel,second,19.01,5,360000
2018,80000,Diesel,first,25.4,5,570000
2012,105000,Diesel,second,19.01,5,350000
2017,60000,Diesel,first,,,600000
2017,227000,Petrol,first,17.5,7,700000
2012,100000,Diesel,second,19.01,5,375000
2019,60000,CNG,first,21.94,5,450000
2013,70000,Diesel,third,21.9,5,325000
2011,120000,Diesel,third,20.54,5,260000
2009,80000,Petrol,third,19.7,5,130000
2008,120000,Diesel,fourth,11.57,7,150000
2014,40000,Petrol,first,17.92,5,220000
2014,53000,Petrol,first,20.36,5,275000
2017,60000,Diesel,first,25.2,5,455000
2017,30000,Petrol,first,18.6,5,570000
2013,100000,Diesel,third,20.54,5,330000
2018,70000,Diesel,first,13.68,7,1576000
2012,98000,Diesel,fourth,20.77,7,450000
2014,60000,Petrol,first,21.1,5,250000
2010,80000,Petrol,third,20.36,5,165000
2013,117000,Diesel,first,11.18,7,800000
2018,8576,Petrol,first,18.7,5,680000
2017,19723,Petrol,first,20.3,5,525000
2016,21446,Petrol,first,16.8,5,825000
2017,52289,Diesel,first,25.1,5,750000
2017,52236,Diesel,first,15.4,7,950000
2017,54470,Diesel,first,15.4,7,950000
2017,25471,Diesel,first,21.9,5,675000
2019,33928,Petrol,first,23.84,5,490000
2018,59736,Diesel,first,18.49,7,775000
2009,54290,Petrol,first,17,5,350000
2016,2118,Petrol,first,19.4,5,475000
2017,61379,Diesel,first,15.4,7,950000
2010,58544,Petrol,second,17.4,5,350000
2016,74381,Petrol,first,21.79,5,400000
2001,35000,Petrol,third,16.1,4,75000
2017,63982,Diesel,first,22.7,5,850000
2008,65000,Petrol,second,18.9,5,175000
2014,74000,Diesel,first,15.96,7,570000
2013,56429,Diesel,second,19.01,5,525000
2012,56000,Petrol,first,20.36,5,270000
2019,19500,Petrol,first,20.3,5,434999
2015,30000,Petrol,first,18.6,5,495000
2016,53000,Diesel,first,22.54,5,575000
2017,5000,Petrol,first,20.14,5,600000
2015,25000,Petrol,first,17.01,5,700000
2014,72000,Diesel,first,26,5,560000
2016,72000,Diesel,first,,,565000
2005,80000,Diesel,first,13.6,7,250000
2013,29000,Petrol,second,15,5,409999
2016,56832,Diesel,first,19.87,5,495000
2014,30528,Petrol,first,18.6,5,470000
2013,65285,Diesel,first,24.7,5,350000
2020,20102,Diesel,first,13.68,8,1560000
2015,43000,Petrol,first,18.7,5,480000
2013,52380,Diesel,first,23.59,5,270000
2018,74250,Diesel,first,21,7,660000
2017,57247,Petrol,first,20.89,5,490000
2017,52000,Diesel,first,24.3,5,800000
2011,47000,Petrol,second,16.95,5,350000
2011,80000,Diesel,third,17.8,5,170000
2011,85000,Diesel,second,18,5,125000
2012,100000,Diesel,first,19.3,5,400000
2011,110000,Petrol,first,16.95,5,250000
2010,178000,Diesel,second,20.4,5,190000
2010,120000,Petrol,third,19.7,5,125000
2017,70000,Diesel,first,16.3,5,1950000
2011,120000,Diesel,first,12.8,5,1300000
2010,155000,Diesel,third,12.8,8,786000
2015,30000,Petrol,first,20.51,5,335000
2009,60000,Petrol,third,18.9,5,114999
2012,70000,Diesel,fourth,22.07,5,229999
2017,40000,Diesel,first,22.54,5,731000
2012,120000,Diesel,first,22.32,5,395000
2015,120000,Diesel,first,26.59,5,500000
2014,50000,Petrol,third,21.1,5,220000
2013,100000,Diesel,first,20,5,240000
2010,120000,Diesel,third,23,5,215000
2012,90000,Diesel,second,22.9,5,400000
2012,90000,Petrol,first,19,5,191000
2013,100000,Diesel,second,14,8,351000
2015,20000,Petrol,first,21.9,4,250000
2009,90000,Diesel,second,18.1,5,210000
2011,120000,Petrol,third,17.6,5,300000
2017,35000,Diesel,first,25.83,5,700000
2010,120000,Diesel,second,11.8,5,500000
2002,120000,Petrol,first,16.1,4,120000
2019,10000,Diesel,first,22.54,5,850000
1994,100000,Diesel,second,,,120000
2017,65000,Diesel,second,25.5,5,770000
2007,90000,Petrol,third,13.5,5,245000
2012,90000,Petrol,first,20.92,5,250000
2016,42323,Diesel,first,21.19,5,651000
2013,42462,Petrol,first,16.8,5,480000
2015,54723,Diesel,first,25.2,5,470000
2016,30000,Diesel,first,27.3,5,500000
2011,42545,Diesel,first,19.62,5,1075000
2016,32000,Diesel,first,25.1,5,690000
2017,41232,Diesel,first,,,589000
2017,41232,Diesel,first,,,589000
2018,20375,Petrol,first,20.89,5,480000
2013,43978,Diesel,second,28.4,5,450000
2018,50000,Diesel,first,24.3,5,770000
2015,40200,Diesel,first,21,7,445000
2018,30000,Petrol,first,18.6,5,700000
2014,90000,Diesel,first,20.77,7,560000
2013,48000,Diesel,second,21.7,5,475000
2014,27233,Diesel,first,27.4,5,465000
2017,28832,Diesel,first,23.4,5,520000
2011,35000,Petrol,first,15,5,225000
2015,35000,Petrol,first,16.02,7,700000
2017,40000,Diesel,first,24.3,5,780000
2006,80000,Petrol,second,17.7,5,93150
2016,30000,Diesel,second,17.21,7,403000
2009,50000,Petrol,second,19.81,5,229999
2016,40000,Diesel,second,26.59,5,525000
2014,25000,Petrol,first,16.02,7,560000
2020,120000,Diesel,first,15.1,7,830000
2011,60000,Diesel,second,21.1,5,250000
2014,110000,Diesel,first,15.96,9,450000
2016,67000,Diesel,first,15.4,7,745000
2010,50000,Diesel,second,20,5,144000
2008,40000,Petrol,first,18.2,5,120000
2008,120000,Diesel,second,11.57,7,300000
1999,100000,Petrol,first,16.1,4,52000
2003,98000,Diesel,first,10.5,8,300000
2009,150000,Diesel,second,13.6,7,270000
2014,38000,Diesel,first,22.1,5,260000
2015,120000,Diesel,first,23.59,5,475000
2011,103000,Diesel,third,20,5,302000
1994,60000,Petrol,first,16.1,4,45000
2017,80000,Diesel,first,24.3,5,775000
2015,50000,Diesel,first,20.77,7,700000
2014,90000,Diesel,first,25.2,5,530000
2017,70000,Diesel,first,21.5,5,869999
2006,110000,Diesel,fourth,14.9,5,155000
2019,30000,Petrol,first,23.84,5,550000
2016,80000,Diesel,second,26.59,5,600000
2012,110000,Diesel,second,19.3,5,430000
2010,120000,Diesel,first,18.8,5,246000
2003,120000,Petrol,third,17.3,5,120000
2014,70000,Petrol,second,18.6,5,565000
2018,60000,Diesel,first,22.54,5,850000
2006,90000,Petrol,first,19.7,5,160000
2014,142500,Diesel,first,19.5,5,325000
2011,90000,Diesel,third,12.05,8,450000
2015,50000,Petrol,first,19.81,5,310000
2013,90000,Diesel,third,25.8,5,250000
2015,115000,Diesel,second,26.59,5,420000
2013,150000,Petrol,second,15,5,330000
2015,68000,Petrol,second,20.4,5,405000
2013,90000,Diesel,second,15.96,7,400000
2010,110000,Petrol,third,15.6,5,409999
2013,70000,Diesel,second,15.96,7,500000
2011,80000,Diesel,third,15.1,7,590000
2006,118000,Petrol,first,,,80000
,,,,,,
